Symbol,Company Name,Industry,Market Cap
BALL,Ball Corporation,Packaging & Containers,17316877041
BALY,Bally's,Resorts & Casinos,889301625
BAM,Brookfield Asset Management,Asset Management,13182219448
BANC,Banc of California,Banks - Regional,734797480
BAND,Bandwidth,Software - Infrastructure,376801944
BANF,BancFirst,Banks - Regional,2705613660
BANL,CBL International,Energy,220250000
BANR,Banner,Banks - Regional,1840326462
BANX,ArrowMark Financial,Asset Management,126781946
BAOS,Baosheng Media Group Holdings,Advertising Agencies,5747252
BAP,Credicorp,Banks - Regional,10474280705
BARK,"BARK, Inc.",Specialty Retail,257621500
BASE,Couchbase,Software - Infrastructure,625819964
BATL,Battalion Oil,Oil & Gas E&P,125854960
BAX,Baxter International,Medical Instruments & Supplies,20210809860
BB,BlackBerry,Software - Infrastructure,3022044699
BBAI,BigBear.ai Holdings,Information Technology Services,441808865
BBAR,Banco BBVA Argentina,Banks - Regional,825117448
BBBY,Bed Bath & Beyond,Specialty Retail,44924211
BBCP,Concrete Pumping Holdings,Engineering & Construction,383437200
BBD,Banco Bradesco,Banks - Regional,27031186862
BBDC,Barings BDC,Credit Services,853615560
BBDO,Banco Bradesco,Banks - Regional,25658092057
BBGI,Beasley Broadcast Group,Broadcasting,24426734
BBIG,Vinco Ventures,Leisure,76713203
BBIO,BridgeBio Pharma,Biotechnology,2654464157
BBLG,Bone Biologics,Medical Devices,4130010
BBLN,Babylon Holdings,Health Information Services,127535904
BBSI,Barrett Business Services,Staffing & Employment Services,621213976
BBU,Brookfield Business Partners L.P.,Conglomerates,1353470677
BBUC,Brookfield Business,Asset Management,1443781508
BBVA,Banco Bilbao Vizcaya Argentaria,Banks - Diversified,41126389309
BBW,Build-A-Bear Workshop,Specialty Retail,341029248
BBWI,Bath & Body Works,Specialty Retail,8349959000
BBY,Best Buy Co.,Specialty Retail,17118791460
BC,Brunswick,Recreational Vehicles,6083690557
BCAB,BioAtla,Biotechnology,134728093
BCAN,BYND Cannasoft Enterprises,Software - Infrastructure,85243275
BCBP,BCB Bancorp,Banks - Regional,220971876
BCC,Boise Cascade Company,Building Materials,2512018855
BCDA,BioCardia,Biotechnology,40366000
BCE,BCE Inc.,Telecom Services,41357287972
BCEL,Atreca,Biotechnology,41897562
BCH,Banco de Chile,Banks - Regional,9697631846
BCLI,Brainstorm Cell Therapeutics,Biotechnology,109715359
BCML,BayCom,Banks - Regional,213504255
BCO,The Brink's Company,Security & Protection Services,3080105600
BCOV,Brightcove,Software - Application,185393574
BCOW,1895 Bancorp of Wisconsin,Banks - Regional,53233483
BCPC,Balchem,Specialty Chemicals,4084870412
BCRX,BioCryst Pharmaceuticals,Biotechnology,1577334937
BCS,Barclays,Banks - Diversified,28929313600
BCSA,Blockchain Coinvestors Acquisition I,Shell Companies,425616610
BCSF,Bain Capital Specialty Finance,Asset Management,769582616
BCTX,BriaCell Therapeutics,Biotechnology,111884780
BCYC,Bicycle Therapeutics,Biotechnology,647555127
BDC,Belden,Communication Equipment,3764946812
BDL,Flanigan's Enterprises,Restaurants,52506863
BDN,Brandywine Realty Trust,REIT - Office,791666080
BDRX,Biodexa Pharmaceuticals,Biotechnology,1976846
BDSX,Biodesix,Diagnostics & Research,145033307
BDTX,Black Diamond Therapeutics,Biotechnology,70408523
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,70109602851
BE,Bloom Energy,Electrical Equipment & Parts,4173160280
BEAM,Beam Therapeutics,Biotechnology,2181339688
BEAT,HeartBeam,Health Information Services,20979029
BECN,Beacon Roofing Supply,Building Products & Equipment,3769063382
BEDU,Bright Scholar Education Holdings,Education & Training Services,71342880
BEEM,Beam Global,Solar,149717748
BEKE,KE Holdings,Real Estate Services,24312189623
BELFA,Bel Fuse,Electronic Components,478922576
BELFB,Bel Fuse,Electronic Components,471888000
BEN,Franklin Resources,Asset Management,13474641371
BEP,Brookfield Renewable Partners L.P.,Utilities - Renewable,19535083567
BEPC,Brookfield Renewable,Utilities - Renewable,5859230308
BERY,Berry Global Group,Packaging & Containers,7103114000
